updateon,symbol,isinCode,identifier,listingDate,issuedSize,lastPrice,TodayChangeValue,TodayPercentageChange,previousClose,close,vwap,open,minintraday,maxintraday,valueintraday,52WeekMin,52WeekMinDate,52WeekMax,52WeekMaxDate,valueweek,upperCP,lowerCP,basePrice,iNavValue,checkINAV,tickSize,priceBand,ppriceBand,totalTradedVolume_lks,totalTradedValue_cr,totalMarketCap_cr,freefloatmktcap_cr,impactCost,faceValue,cmDailyVolatility,cmAnnualVolatility,marketLot,securityVar,indexVar,varMargin,extremeLossMargin,adhocMargin,applicableMargin,volume,deliveryQuantity,deliveryToTradedQuantity_Percentage,FarFrom52WeekHigh,FarFrom52WeekLow,RangePositionTrend,DayPerformance,IntradayRangePercent,RangeTrendLabel,TrendImplication
17-07-2026,JUNIORBEES,INF732E01045,JUNIORBEESEQN,06-Mar-2003,108957190,775.98,-1.0,-0.13,776.98,776.11,775.66,765.6,765.6,779.0,775.66,632.34,01-Apr-2026 00:00:00,798.07,03-Jul-2026 00:00:00,0.0,0.0,0.0,0.0,775.31,True,0.01,620.89-931.33,20,2.5128,19.4912,8454.86,84548600296.2,0.05,1.25,1.1,21.02,0,6.83,0.0,6.83,2.0,0.0,8.83,251285,124995,49.74,2.7679276253962724,22.715627668659263,86.67109153442344,-0.12870344153002652,1.7502612330198508,Near High,Range-bound/Unclear
17-07-2026,LOWVOLIETF,INF109KC19U5,LOWVOLIETFEQN,10-Jul-2017,1561624550,22.11,0.08,0.36,22.03,22.11,22.11,22.25,21.85,22.25,22.11,19.84,02-Apr-2026 00:00:00,26.81,27-Jan-2026 00:00:00,0.0,0.0,0.0,0.0,22.16,True,0.01,17.69-26.53,20,9.0642,2.0041,3452.7519,34527518800.5,0.07,1.0,0.82,15.67,0,5.02,0.0,6.0,2.0,0.0,8.0,906423,577822,63.75,17.5307720999627,11.441532258064514,32.568149210903876,0.3631411711302691,1.8306636155606342,Uncertain,Range-bound/Unclear
17-07-2026,MAFANG,INF769K01HF4,MAFANGEQN,14-May-2021,247303596,201.0,1.58,0.79,199.42,200.2,201.48,201.85,194.43,201.85,201.48,147.44,21-Jul-2025 00:00:00,208.38,03-Jun-2026 00:00:00,0.0,0.0,0.0,0.0,161.99,True,0.01,160.16-240.24,20,4.9205,9.9138,4970.8023,49708022796.0,0.02,40.0,1.6,30.57,0,10.09,0.0,10.09,3.5,0.0,13.59,492051,407063,82.73,3.5416066801036545,36.32664134563212,87.88972760091895,0.7922976632233539,3.816283495345362,Near High,Range-bound/Unclear
17-07-2026,MAKEINDIA,INF769K01IB1,MAKEINDIAEQN,02-Feb-2022,15645234,161.62,-0.35,-0.22,161.97,161.76,161.83,162.0,161.42,162.38,161.83,138.33,12-Aug-2025 00:00:00,167.77,08-May-2026 00:00:00,0.0,0.0,0.0,0.0,161.7,True,0.01,129.41-194.11,20,0.2068,0.3346,252.8583,2528582719.08,0.24,50.0,1.05,20.06,0,6.52,0.0,9.0,3.5,0.0,12.5,20678,17269,83.51,3.6657328485426506,16.836550278319955,79.11005434782606,-0.21608939927146653,0.5947218436377202,Uncertain,Range-bound/Unclear
17-07-2026,MASPTOP50,INF769K01HP3,MASPTOP50EQN,24-Sep-2021,168624040,80.54,0.73,0.91,79.81,80.54,80.52,80.54,80.15,80.54,80.52,56.22,16-Jul-2025 00:00:00,82.78,22-May-2026 00:00:00,0.0,0.0,0.0,0.0,65.65,True,0.01,64.44-96.64,20,2.2684,1.8265,1358.098,13580980181.6,0.2,20.0,1.38,26.36,0,8.61,0.0,8.61,2.0,0.0,10.61,226843,217127,95.72,2.7059676250301945,43.258626823194604,91.56626506024098,0.9146723468237113,0.48658764815970124,Near High,Range-bound/Unclear
17-07-2026,METALIETF,INF109KC19W1,METALIETFEQN,20-Aug-2024,764701425,12.53,-0.03,-0.24,12.56,12.5,12.49,12.56,12.41,12.68,12.49,8.98,19-Aug-2025 00:00:00,14.17,04-Jun-2026 00:00:00,0.0,0.0,0.0,0.0,12.51,True,0.01,10.00-15.00,20,64.317,8.0332,958.1709,9581708855.25,0.07,10.0,1.41,26.94,0,8.84,0.0,9.0,3.5,0.0,12.5,6431705,3366939,52.35,11.57374735356387,39.53229398663696,68.40077071290943,-0.23885350318472243,2.175664786462527,Uncertain,Range-bound/Unclear
17-07-2026,MIDCAP,INF174KA1ZC5,MIDCAPEQN,04-Feb-2022,111363410,18.24,-0.13,-0.71,18.37,18.27,18.26,18.46,18.2,18.46,18.26,15.01,08-Jun-2026 00:00:00,19.0,08-Jul-2026 00:00:00,0.0,0.0,0.0,0.0,18.28,True,0.01,14.62-21.92,20,3.201,0.5845,203.1269,2031268598.4,0.14,1.0,1.16,22.16,0,7.23,0.0,7.23,2.0,0.0,9.23,320097,182934,57.15,4.000000000000008,21.518987341772146,80.9523809523809,-0.7076755579749731,1.4285714285714373,Near High,Range-bound/Unclear
17-07-2026,MIDCAPETF,INF769K01IC9,MIDCAPETFEQN,15-Mar-2022,787317704,23.44,-0.11,-0.47,23.55,23.41,23.41,23.55,23.36,23.65,23.41,19.6,02-Apr-2026 00:00:00,24.22,14-Jul-2026 00:00:00,0.0,0.0,0.0,0.0,23.39,True,0.01,18.73-28.09,20,105.5241,24.7032,1845.4727,18454726981.76,0.06,5.0,1.1,21.02,0,6.84,0.0,6.84,2.0,0.0,8.84,10552410,9010916,85.39,3.2204789430222855,19.591836734693878,83.11688311688316,-0.4670912951167704,1.24143835616438,Near High,Range-bound/Unclear
17-07-2026,MOCAPITAL,INF247L01EV3,MOCAPITALEQN,13-Mar-2025,43650000,54.45,0.19,0.35,54.26,54.19,54.09,54.54,53.5,54.54,54.09,41.15,29-Aug-2025 00:00:00,57.25,03-Jul-2026 00:00:00,0.0,0.0,0.0,0.0,54.14,True,0.01,43.36-65.02,20,9.5579,5.1698,237.6743,2376742500.0,0.1,10.0,1.51,28.85,0,9.48,0.0,9.48,3.5,0.0,12.98,955786,466994,48.86,4.8908296943231395,32.320777642770366,82.60869565217394,0.35016586804276606,1.9439252336448583,Near High,Range-bound/Unclear
17-07-2026,MODEFENCE,INF247L01DJ0,MODEFENCEEQN,27-Aug-2024,129150000,102.39,0.48,0.47,101.91,102.41,102.07,101.9,101.37,102.81,102.07,77.8,30-Mar-2026 00:00:00,107.99,23-Jun-2026 00:00:00,0.0,0.0,0.0,0.0,102.52,True,0.01,81.93-122.89,20,10.3204,10.534,1322.3669,13223668500.0,0.05,10.0,1.63,31.14,0,10.28,0.0,10.28,3.5,0.0,13.78,1032041,557151,53.99,5.185665339383271,31.606683804627256,81.45081152699572,0.47100382690609754,1.4205386208937532,Near High,Range-bound/Unclear
